company,address,profit,latitude,longitude,,,
Takeda Pharma A/S,Dybendal Alle 10 Taastrup,84.741454,55.663151,12.286355,,100,177.972181
Novo Nordisk A/S,novo alle 1 Bagsvaerd,47.615,55.754555,12.455185,,99,106.8739536
Hoejbjerg Maskinfabrik A/S,Oddervej 200 Hoejbjerg,44.552483,56.101378,10.206692,,98,156.4943173
Oersted Wind Power A/S,Kraftvaerksvej 53 Fredericia,28.469074,55.515935,9.623871,,97,108.2968427
Danske Bank A/S,Holmens Kanal 2 Koebenhavn,26.288,55.678496,12.585484,,96,110.8158981
Ball ApS,Kloevermarken 29 Billund,23.722228,55.723464,9.128516,,95,120.2160787
Lego A/S,Aastvej 1 Billund,19.732991,55.733219,9.122261,,94,194.6745491
A.P. Moeller og Hustru,Esplanaden 50 Koebenhavn,10.1364,55.68809,12.597707,,93,139.537861
Pandora A/S,Havneholmen 17 Koebenhavn,7.264265,55.660651,12.561623,,92,137.3466629
Lundbeck A/S,Ottiliavej 9 Valby,5.289,55.658051,12.516743,,91,139.2941796
Coloplast A/S,Holtedam 1 Humlebaek,3.797,55.965062,12.494715,,90,65.89412444
Augustinus Fonden,Sankt Annae Plads 13 Koebenhavn,5.762274,55.681932,12.590934,,89,185.1333012
Sund og Baelt Holding A/S,Vester Soegade 10 Koebenhavn,3.1125,55.67597,12.559293,,88,143.0376838
ISS World Services A/S,Buddingevej 197 Soeborg,2.176,55.751218,12.497248,,87,100.0570178
Bestseller A/S,Fredskovvej 5 Brande,2.17476,55.949837,9.145088,,86,66.13608019
Jysk Holding A/S,Soedalsparken 18 Brabrand,3.288311,56.15422,10.093572,,85,153.3708546
Siemens Gamesa Renewable Energy A/S,Borupvej 16 Brande,2.144026,55.955817,9.122486,,84,100.4602184
Danfoss Power Solutions Holding ApS,Nordborgvej 81 Nordborg,2.134204,55.0549024,9.7588571,,83,102.7047161
VKR Holding A/S,Breeltevej 18 Hoersholm,2.078,55.897529,12.484345,,82,87.79045205
Salling Group A/S,Salling Group Rosbjergvej Lyngby Aarhus Municipality Central Denmark Region 8220 Denmark,2.367,56.1611078,10.05700778,,81,134.5650938
Grundfos Holding A/S,Poul Due Jensens Vej 7 Bjerringbro,1.759,56.380773,9.669192,,80,102.8314003
Chr. Hansen A/S,Boege Alle 10 Hoersholm,1.710567,55.873438,12.488103,,79,100.082204
Radius Elnet A/S,Kraftvaerksvej 53 Fredericia,1.709162,55.515935,9.623871,,78,100.6928828
LEGO Fonden,Hoejmarksvej 8 Billund,1.697401,55.733948,9.121128,,77,105.2997231
Genmab A/S,Kalvebod Brygge 43 Koebenhavn,1.611971,55.665634,12.567677,,76,100.3717933
GN Store Nord A/S,Lautrupbjerg 7 Ballerup,1.606,55.738723,12.387155,,75,108.2572802
Aarhus Vand A/S,34 Gunnar Clausens Vej Aarhus,1.483503,56.108449,10.146058,,74,101.1249489
Nets Denmark A/S,Lautrupbjerg 10 Ballerup,1.467,55.74088,12.387224,,73,103.5066676
Koebenhavns Lufthavne A/S,Lufthavnsboulevarden 6 Kastrup,1.4173,55.629513,12.639366,,72,123.6736475
LEO Pharma A/S,Industriparken 55 Ballerup,1.146,55.726768,12.393723,,71,82.26045411
PFA DK Ejendomme Lav A/S,Sundkrogsgade 4 Koebenhavn,1.393136,55.708655,12.591288,,70,100.4143761
Ineos E&P A/S,Teknikerbyen 5 Virum,1.387387,55.800035,12.495474,,69,104.3762606
Thomas Cook Northern Europe A/S,Kay Fiskers Plads 9 Koebenhavn,1.329217,55.629304,12.58026,,68,100.3940332
Dades A/S,Lyngby Hovedgade 4 Kongens Lyngby,1.324,55.775355,12.49586,,67,103.4375
Lego Juris A/S,Koldingvej 2 Billund,1.28,55.724598,9.130554,,66,103.3750333
Oticon A/S,9 egedal kongebakken,1.23821,55.749182,12.294416,,65,115.4544759
Ejendomsselskabet Nordtyskland,Axeltorv 2 Koebenhavn,1.072466,55.675515,12.565704,,64,101.5958394
Royal Unibrew A/S,Faxe Alle 1 Faxe,1.05562,55.259938,12.11499,,63,100.199522
Stark Denmark A/S,Skanderborgvej 277 Viby J,1.053518,56.1231635,10.1518955,,62,105.4971751
Nissens Cooling Solutions A/S,Ormhoejgaardvej 9 Horsens,0.998622,55.843391,9.837108,,61,104.4738863
Aalborg Kloak A/S,Stigsborg Brygge 5 Noerresundby,0.955858,57.054409,9.935113,,60,107.1589686
Dupont Nutrition Biosciences ApS,Langebrogade 1 Koebenhavn,0.892,55.670896,12.581924,,59,101.8631129
Statens Ejendomssalg A/S,Gammel Kongevej 60  Frederiksberg,0.875685,55.6759585,12.5433837,,58,100
Equinor Refining Denmark A/S,Melbyvej 17 Kalundborg,0.875685,55.65493,11.103608,,57,106.1436364
