method,agents,distanceMultiplier,profitMultiplier,time,distance
one,1,1,1,70660,659591
one,2,1,1,23552,784815
one,4,1,1,20924,1185419
one,8,1,1,10742,1778125
one,10,1,1,9752,2063950
one,15,1,1,6937,2494014
one,20,1,1,5874,2540016
one,25,1,1,5922,2590624
one,30,1,1,5669,2649557
two,1,1,1,1356719,623479
two,2,1,1,776036,774312
two,4,1,1,379429,1093879
two,8,1,1,213444,1707220
two,10,1,1,177623,1936620
two,15,1,1,113971,2411779
two,20,1,1,102091,2582343
two,25,1,1,112932,2620865
two,30,1,1,128146,2655872
