agents,distanceMultiplier,profitMultiplier,time,distance
1,1,1,2758570,655475
1,1,20,1054460,655475
1,1,40,1707440,655475
1,1,60,102860,655475
1,1,80,125390,655475
1,1,100,107560,655475
1,1,120,115150,655475
1,1,140,98830,655475
1,1,160,91210,655475
1,1,180,113080,655475
1,1,200,110580,655475
1,1,220,92330,655475
1,1,240,96030,655475
1,1,260,79440,655475
1,1,280,117840,655475
1,1,300,125940,655475
1,1,320,85610,655475
1,1,340,120630,655475
1,1,360,121220,655475
1,1,380,118940,655475
1,1,400,84630,655475
1,1,420,70260,655475
1,1,440,71230,655475
1,1,460,102540,655475
1,1,480,70570,655475
1,1,500,137160,655475
1,1,520,120910,655475
1,1,540,121900,655475
1,1,560,90750,655475
1,1,580,68040,655475
1,1,600,66610,655475
1,1,620,76170,655475
1,1,640,66820,655475
1,1,660,66720,655475
1,1,680,88210,655475
1,1,700,73260,655475
1,1,720,82770,655475
1,1,740,73670,655475
1,1,760,75390,655475
1,1,780,74220,655475
1,1,800,83860,655475
1,1,820,79330,655475
1,1,840,67670,655475
1,1,860,86300,655475
1,1,880,67410,655475
1,1,900,68170,655475
1,1,920,81970,655475
1,1,940,67480,655475
1,1,960,66880,655475
1,1,980,68740,655475
1,1,1000,67960,655475
2,1,1,24420,763344
2,1,20,24400,763344
2,1,40,25740,763344
2,1,60,28080,763344
2,1,80,27560,763344
2,1,100,28860,763344
2,1,120,23820,763344
2,1,140,24020,763344
2,1,160,39070,763344
2,1,180,29160,763344
2,1,200,26560,763344
2,1,220,24030,763344
2,1,240,26260,763344
2,1,260,48130,763344
2,1,280,41350,763344
2,1,300,46000,763344
2,1,320,40920,763344
2,1,340,40050,763344
2,1,360,40020,763344
2,1,380,58690,763344
2,1,400,39060,763344
2,1,420,29810,763344
2,1,440,28650,763344
2,1,460,33530,763344
2,1,480,34600,763344
2,1,500,30380,763344
2,1,520,27610,763344
2,1,540,32600,763344
2,1,560,70770,763344
2,1,580,31420,763344
2,1,600,36240,763344
2,1,620,28640,763344
2,1,640,29910,763344
2,1,660,39520,763344
2,1,680,41970,763344
2,1,700,43680,763344
2,1,720,39950,763344
2,1,740,39550,763344
2,1,760,43900,763344
2,1,780,41710,763344
2,1,800,71610,763344
2,1,820,52170,763344
2,1,840,40190,763344
2,1,860,41750,763344
2,1,880,46980,763344
2,1,900,41870,763344
2,1,920,42280,763344
2,1,940,53070,763344
2,1,960,39970,763344
2,1,980,41400,763344
2,1,1000,51270,763344
4,1,1,37920,1043540
4,1,20,29480,1043540
4,1,40,34320,1043540
4,1,60,31890,1043540
4,1,80,29060,1043540
4,1,100,31440,1043540
4,1,120,31600,1043540
4,1,140,29290,1043540
4,1,160,30190,1043540
4,1,180,35140,1043540
4,1,200,31810,1043540
4,1,220,29840,1043540
4,1,240,21910,1043540
4,1,260,17720,1043540
4,1,280,17320,1043540
4,1,300,16920,1043540
4,1,320,16720,1043540
4,1,340,16940,1043540
4,1,360,22000,1043540
4,1,380,17470,1043540
4,1,400,18200,1043540
4,1,420,17280,1043540
4,1,440,18420,1043540
4,1,460,17720,1043540
4,1,480,21430,1043540
4,1,500,33120,1043540
4,1,520,31050,1043540
4,1,540,32390,1043540
4,1,560,29870,1043540
4,1,580,26760,1043540
4,1,600,17520,1043540
4,1,620,17790,1043540
4,1,640,20120,1043540
4,1,660,17590,1043540
4,1,680,17220,1043540
4,1,700,17910,1043540
4,1,720,17880,1043540
4,1,740,17040,1043540
4,1,760,33950,1043540
4,1,780,29740,1043540
4,1,800,28710,1043540
4,1,820,36140,1043540
4,1,840,32040,1043540
4,1,860,30480,1043540
4,1,880,34560,1043540
4,1,900,29790,1043540
4,1,920,32400,1043540
4,1,940,19230,1043540
4,1,960,20370,1043540
4,1,980,18460,1043540
4,1,1000,18750,1043540
8,1,1,15420,1587669
8,1,20,16530,1587669
8,1,40,21660,1587669
8,1,60,15010,1587669
8,1,80,14640,1587669
8,1,100,16410,1587669
8,1,120,16560,1587669
8,1,140,24930,1587669
8,1,160,23470,1587669
8,1,180,16900,1587669
8,1,200,16660,1587669
8,1,220,19420,1587669
8,1,240,16840,1587669
8,1,260,15200,1587669
8,1,280,15760,1587669
8,1,300,19830,1587669
8,1,320,16980,1587669
8,1,340,15920,1587669
8,1,360,15020,1587669
8,1,380,15480,1587669
8,1,400,14800,1587669
8,1,420,15510,1587669
8,1,440,16570,1587669
8,1,460,17180,1587669
8,1,480,13500,1587669
8,1,500,13930,1587669
8,1,520,16080,1587669
8,1,540,14030,1587669
8,1,560,16220,1587669
8,1,580,15010,1587669
8,1,600,26570,1587669
8,1,620,18980,1587669
8,1,640,14280,1587669
8,1,660,14670,1587669
8,1,680,14200,1587669
8,1,700,13430,1587669
8,1,720,13410,1587669
8,1,740,23770,1587669
8,1,760,30500,1587669
8,1,780,20340,1587669
8,1,800,15040,1587669
8,1,820,14940,1587669
8,1,840,13150,1587669
8,1,860,13460,1587669
8,1,880,12660,1587669
8,1,900,13270,1587669
8,1,920,14240,1587669
8,1,940,14170,1587669
8,1,960,13290,1587669
8,1,980,13060,1587669
8,1,1000,17020,1587669
