coefficient,agentNo,coefficientVal,desiredProfit,distanceRes
dist,1,1,5,53859.39
dist,2,1,5,57506.91
dist,3,1,5,57506.91
dist,4,1,5,57506.91
dist,6,1,5,57506.91
dist,8,1,5,57506.91
dist,10,1,5,57506.91
dist,1,2,5,53263.80
dist,2,2,5,53534.65
dist,3,2,5,57109.36
dist,4,2,5,57109.36
dist,6,2,5,57109.36
dist,8,2,5,57109.36
dist,10,2,5,57109.36
dist,1,4,5,52971.68
dist,2,4,5,54090.56
dist,3,4,5,54281.01
dist,4,4,5,54467.33
dist,6,4,5,54706.74
dist,8,4,5,54789.18
dist,10,4,5,54789.18
dist,1,8,5,52474.54
dist,2,8,5,54131.60
dist,3,8,5,54591.47
dist,4,8,5,54873.05
dist,6,8,5,55043.17
dist,8,8,5,55125.62
dist,10,8,5,55125.62
dist,1,16,5,52469.11
dist,2,16,5,54281.79
dist,3,16,5,54755.09
dist,4,16,5,55118.79
dist,6,16,5,55288.91
dist,8,16,5,55371.35
dist,10,16,5,55371.35
dist,1,32,5,50973.24
dist,2,32,5,54894.35
dist,3,32,5,57545.64
dist,4,32,5,58504.49
dist,6,32,5,58747.24
dist,8,32,5,58829.69
dist,10,32,5,58829.69
dist,1,1,10,57606.23
dist,2,1,10,57506.91
dist,3,1,10,57506.91
dist,4,1,10,57506.91
dist,6,1,10,57506.91
dist,8,1,10,57506.91
dist,10,1,10,57506.91
dist,1,2,10,57010.64
dist,2,2,10,53655.62
dist,3,2,10,57109.36
dist,4,2,10,57109.36
dist,6,2,10,57109.36
dist,8,2,10,57109.36
dist,10,2,10,57109.36
dist,1,4,10,56736.71
dist,2,4,10,54246.85
dist,3,4,10,54488.71
dist,4,4,10,58247.49
dist,6,4,10,54949.67
dist,8,4,10,58616.35
dist,10,4,10,58616.35
dist,1,8,10,52614.06
dist,2,8,10,54309.16
dist,3,8,10,54882.11
dist,4,8,10,55197.77
dist,6,8,10,55349.02
dist,8,8,10,55530.38
dist,10,8,10,55530.38
dist,1,16,10,52608.64
dist,2,16,10,54551.16
dist,3,16,10,55067.59
dist,4,16,10,55465.37
dist,6,16,10,55616.61
dist,8,16,10,55797.97
dist,10,16,10,55797.97
dist,1,32,10,51987.45
dist,2,32,10,57220.02
dist,3,32,10,59589.11
dist,4,32,10,60153.95
dist,6,32,10,60377.83
dist,8,32,10,60559.19
dist,10,32,10,60559.19
dist,1,1,15,57680.30
dist,2,1,15,57604.83
dist,3,1,15,57604.83
dist,4,1,15,57604.83
dist,6,1,15,57604.83
dist,8,1,15,57604.83
dist,10,1,15,57604.83
dist,1,2,15,57084.71
dist,2,2,15,57434.47
dist,3,2,15,57207.28
dist,4,2,15,57207.28
dist,6,2,15,57207.28
dist,8,2,15,57207.28
dist,10,2,15,57207.28
dist,1,4,15,56805.07
dist,2,4,15,58002.86
dist,3,4,15,58239.33
dist,4,4,15,58322.56
dist,6,4,15,58752.17
dist,8,4,15,58691.42
dist,10,4,15,58691.42
dist,1,8,15,56334.19
dist,2,8,15,58048.97
dist,3,8,15,58621.97
dist,4,8,15,58977.94
dist,6,8,15,59147.06
dist,8,8,15,59357.74
dist,10,8,15,59397.29
dist,1,16,15,56335.47
dist,2,16,15,58270.92
dist,3,16,15,58807.45
dist,4,16,15,59245.54
dist,6,16,15,59414.65
dist,8,16,15,59625.34
dist,10,16,15,59664.89
dist,1,32,15,54577.12
dist,2,32,15,60421.42
dist,3,32,15,63376.65
dist,4,32,15,64865.29
dist,6,32,15,65152.98
dist,8,32,15,67312.83
dist,10,32,15,64480.49
dist,1,1,20,58230.02
dist,2,1,20,58164.73
dist,3,1,20,58166.59
dist,4,1,20,58166.59
dist,6,1,20,58166.59
dist,8,1,20,58166.59
dist,10,1,20,58166.59
dist,1,2,20,57629.22
dist,2,2,20,57988.80
dist,3,2,20,57763.47
dist,4,2,20,57763.47
dist,6,2,20,57763.47
dist,8,2,20,57763.47
dist,10,2,20,57763.47
dist,1,4,20,57375.21
dist,2,4,20,58584.37
dist,3,4,20,58828.30
dist,4,4,20,58949.27
dist,6,4,20,59357.00
dist,8,4,20,59296.25
dist,10,4,20,59296.25
dist,1,8,20,56435.98
dist,2,8,20,58639.87
dist,3,8,20,59232.69
dist,4,8,20,59136.30
dist,6,8,20,59820.48
dist,8,8,20,59596.54
dist,10,8,20,59636.09
dist,1,16,20,56441.85
dist,2,16,20,58401.77
dist,3,16,20,58936.97
dist,4,16,20,59415.27
dist,6,16,20,59644.35
dist,8,16,20,59824.64
dist,10,16,20,59864.19
dist,1,32,20,54683.50
dist,2,32,20,60552.27
dist,3,32,20,63516.70
dist,4,32,20,65055.10
dist,6,32,20,65355.89
dist,8,32,20,67540.83
dist,10,32,20,64708.49
dist,1,1,25,59417.82
dist,2,1,25,61942.46
dist,3,1,25,61974.46
dist,4,1,25,61982.51
dist,6,1,25,61982.51
dist,8,1,25,61982.51
dist,10,1,25,61982.51
dist,1,2,25,58797.25
dist,2,2,25,61795.35
dist,3,2,25,61573.89
dist,4,2,25,61579.40
dist,6,2,25,61579.40
dist,8,2,25,61579.40
dist,10,2,25,61579.40
dist,1,4,25,58543.24
dist,2,4,25,61897.93
dist,3,4,25,62145.72
dist,4,4,25,62272.19
dist,6,4,25,62679.93
dist,8,4,25,62619.18
dist,10,4,25,62619.18
dist,1,8,25,57646.92
dist,2,8,25,61953.43
dist,3,8,25,62550.11
dist,4,8,25,62970.79
dist,6,8,25,63143.41
dist,8,8,25,62919.46
dist,10,8,25,62959.01
dist,1,16,25,57666.24
dist,2,16,25,61846.75
dist,3,16,25,62366.22
dist,4,16,25,62890.88
dist,6,16,25,63083.07
dist,8,16,25,63257.69
dist,10,16,25,63303.72
dist,1,32,25,55907.90
dist,2,32,25,63997.25
dist,3,32,25,66998.48
dist,4,32,25,68465.86
dist,6,32,25,68775.87
dist,8,32,25,70954.09
dist,10,32,25,68136.55
