agents,kmax,percent,ratio,profit,distance
1,1,10,0.10,5,60922.88
1,1,10,0.10,20,61538.91
1,1,10,0.10,35,69889.52
1,1,10,0.10,50,106492.46
1,1,10,0.10,65,142638.45
1,1,10,0.10,80,156529.60
1,1,10,0.10,95,166085.14
1,1,10,0.10,110,172916.62
1,1,10,0.10,125,177322.16
1,1,10,0.10,140,239226.86
1,1,10,0.10,155,241044.02
1,1,10,0.10,170,242414.10
1,1,10,0.10,185,249914.49
1,1,10,0.10,200,262326.92
1,1,10,0.10,215,307920.64
1,1,10,0.10,230,508454.15
1,1,10,0.10,245,513698.74
1,1,10,0.10,260,520312.81
1,1,10,0.10,275,605757.80
1,1,10,0.10,290,616602.20
1,1,10,0.20,5,60922.88
1,1,10,0.20,20,61538.91
1,1,10,0.20,35,69889.52
1,1,10,0.20,50,106492.46
1,1,10,0.20,65,142638.45
1,1,10,0.20,80,156529.60
1,1,10,0.20,95,166085.14
1,1,10,0.20,110,172916.62
1,1,10,0.20,125,177322.16
1,1,10,0.20,140,239226.86
1,1,10,0.20,155,241044.02
1,1,10,0.20,170,242414.10
1,1,10,0.20,185,249914.49
1,1,10,0.20,200,262406.79
1,1,10,0.20,215,308000.52
1,1,10,0.20,230,508613.96
1,1,10,0.20,245,513858.49
1,1,10,0.20,260,520552.50
1,1,10,0.20,275,608693.70
1,1,10,0.20,290,619868.94
1,1,10,0.30,5,60922.88
1,1,10,0.30,20,61538.91
1,1,10,0.30,35,69889.52
1,1,10,0.30,50,106492.46
1,1,10,0.30,65,142638.45
1,1,10,0.30,80,156529.60
1,1,10,0.30,95,166085.14
1,1,10,0.30,110,172916.62
1,1,10,0.30,125,177322.16
1,1,10,0.30,140,239226.86
1,1,10,0.30,155,241044.02
1,1,10,0.30,170,242414.10
1,1,10,0.30,185,249885.14
1,1,10,0.30,200,262406.79
1,1,10,0.30,215,308000.52
1,1,10,0.30,230,508702.55
1,1,10,0.30,245,513981.75
1,1,10,0.30,260,520741.25
1,1,10,0.30,275,608762.04
1,1,10,0.30,290,619911.46
1,1,10,0.40,5,60922.88
1,1,10,0.40,20,61538.91
1,1,10,0.40,35,69889.52
1,1,10,0.40,50,106492.46
1,1,10,0.40,65,142638.45
1,1,10,0.40,80,156529.60
1,1,10,0.40,95,166085.14
1,1,10,0.40,110,172916.62
1,1,10,0.40,125,177322.16
1,1,10,0.40,140,239226.86
1,1,10,0.40,155,241044.02
1,1,10,0.40,170,242414.10
1,1,10,0.40,185,249885.14
1,1,10,0.40,200,262443.34
1,1,10,0.40,215,307987.20
1,1,10,0.40,230,508787.95
1,1,10,0.40,245,514052.96
1,1,10,0.40,260,520985.55
1,1,10,0.40,275,611301.00
1,1,10,0.40,290,621877.02
1,1,10,0.50,5,60922.88
1,1,10,0.50,20,61538.91
1,1,10,0.50,35,69889.52
