agents,kmax,percent,ratio,profit,distance
1,1,80,0.70,5,60922.88
1,1,80,0.70,20,61538.91
1,1,80,0.70,35,68754.99
1,1,80,0.70,50,105955.83
1,1,80,0.70,65,142899.80
1,1,80,0.70,80,156391.92
1,1,80,0.70,95,166621.73
1,1,80,0.70,110,173453.97
1,1,80,0.70,125,177943.20
1,1,80,0.70,140,239337.24
1,1,80,0.70,155,241545.87
1,1,80,0.70,170,243398.89
1,1,80,0.70,185,250711.58
1,1,80,0.70,200,264976.49
1,1,80,0.70,215,310975.89
1,1,80,0.70,230,516790.52
1,1,80,0.70,245,518112.35
1,1,80,0.70,260,526286.15
1,1,80,0.70,275,606433.99
1,1,80,0.70,290,631595.64
1,2,80,0.70,5,60922.88
1,2,80,0.70,20,61538.91
1,2,80,0.70,35,68754.87
1,2,80,0.70,50,105937.03
1,2,80,0.70,65,142868.06
1,2,80,0.70,80,156360.18
1,2,80,0.70,95,166604.92
1,2,80,0.70,110,173437.16
1,2,80,0.70,125,177808.74
1,2,80,0.70,140,239226.46
1,2,80,0.70,155,241524.28
1,2,80,0.70,170,243333.09
1,2,80,0.70,185,250362.22
1,2,80,0.70,200,264815.45
1,2,80,0.70,215,310931.09
1,2,80,0.70,230,516449.66
1,2,80,0.70,245,518039.14
1,2,80,0.70,260,526203.26
1,2,80,0.70,275,605374.23
1,2,80,0.70,290,630823.91
1,3,80,0.70,5,60922.88
1,3,80,0.70,20,61538.91
1,3,80,0.70,35,68754.87
1,3,80,0.70,50,105937.03
1,3,80,0.70,65,142861.38
1,3,80,0.70,80,156353.50
1,3,80,0.70,95,166604.92
1,3,80,0.70,110,173437.16
1,3,80,0.70,125,177808.74
1,3,80,0.70,140,239226.46
1,3,80,0.70,155,241524.28
1,3,80,0.70,170,243332.50
1,3,80,0.70,185,250315.81
1,3,80,0.70,200,264819.99
1,3,80,0.70,215,310931.09
1,3,80,0.70,230,516334.94
1,3,80,0.70,245,517999.99
1,3,80,0.70,260,526203.26
1,3,80,0.70,275,605356.80
1,3,80,0.70,290,630820.19
1,4,80,0.70,5,60922.88
1,4,80,0.70,20,61538.91
1,4,80,0.70,35,68754.87
1,4,80,0.70,50,105937.03
1,4,80,0.70,65,142861.38
1,4,80,0.70,80,156353.50
1,4,80,0.70,95,166604.92
1,4,80,0.70,110,173437.16
1,4,80,0.70,125,177808.74
1,4,80,0.70,140,239226.46
1,4,80,0.70,155,241524.28
1,4,80,0.70,170,243332.50
1,4,80,0.70,185,250315.81
1,4,80,0.70,200,264819.99
1,4,80,0.70,215,310931.09
1,4,80,0.70,230,516334.94
1,4,80,0.70,245,517991.51
1,4,80,0.70,260,526203.26
1,4,80,0.70,275,605356.80
1,4,80,0.70,290,630820.19
1,5,80,0.70,5,60922.88
1,5,80,0.70,20,61538.91
1,5,80,0.70,35,68754.87
1,5,80,0.70,50,105937.03
1,5,80,0.70,65,142861.38
1,5,80,0.70,80,156353.50
1,5,80,0.70,95,166604.92
1,5,80,0.70,110,173437.16
1,5,80,0.70,125,177808.74
1,5,80,0.70,140,239226.46
1,5,80,0.70,155,241524.28
1,5,80,0.70,170,243332.50
1,5,80,0.70,185,250315.81
1,5,80,0.70,200,264819.99
1,5,80,0.70,215,310931.09
1,5,80,0.70,230,516334.94
1,5,80,0.70,245,517991.51
1,5,80,0.70,260,526203.26
1,5,80,0.70,275,605356.80
1,5,80,0.70,290,630820.19
1,6,80,0.70,5,60922.88
1,6,80,0.70,20,61538.91
1,6,80,0.70,35,68754.87
1,6,80,0.70,50,105937.03
1,6,80,0.70,65,142861.38
1,6,80,0.70,80,156353.50
1,6,80,0.70,95,166604.92
1,6,80,0.70,110,173437.16
1,6,80,0.70,125,177808.74
1,6,80,0.70,140,239226.46
1,6,80,0.70,155,241524.28
1,6,80,0.70,170,243332.50
1,6,80,0.70,185,250315.81
1,6,80,0.70,200,264819.99
1,6,80,0.70,215,310931.09
1,6,80,0.70,230,516334.94
1,6,80,0.70,245,517991.51
1,6,80,0.70,260,526203.26
1,6,80,0.70,275,605356.80
1,6,80,0.70,290,630820.19
1,7,80,0.70,5,60922.88
1,7,80,0.70,20,61538.91
1,7,80,0.70,35,68754.87
1,7,80,0.70,50,105937.03
1,7,80,0.70,65,142861.38
1,7,80,0.70,80,156353.50
1,7,80,0.70,95,166604.92
1,7,80,0.70,110,173437.16
1,7,80,0.70,125,177808.74
