agents,kmax,percent,ratio,profit,distance
1,10,1,0.70,5,60922.88
1,10,1,0.70,20,61538.91
1,10,1,0.70,35,69889.52
1,10,1,0.70,50,106492.46
1,10,1,0.70,65,142638.45
1,10,1,0.70,80,156529.60
1,10,1,0.70,95,166102.49
1,10,1,0.70,110,172972.51
1,10,1,0.70,125,177459.19
1,10,1,0.70,140,239266.20
1,10,1,0.70,155,241160.59
1,10,1,0.70,170,242561.50
1,10,1,0.70,185,250425.64
1,10,1,0.70,200,263013.31
1,10,1,0.70,215,309472.72
1,10,1,0.70,230,513811.97
1,10,1,0.70,245,515280.39
1,10,1,0.70,260,523050.66
1,10,1,0.70,275,608990.59
1,10,1,0.70,290,630329.39
1,10,2,0.70,5,60922.88
1,10,2,0.70,20,61538.91
1,10,2,0.70,35,69889.52
1,10,2,0.70,50,106492.46
1,10,2,0.70,65,142638.45
1,10,2,0.70,80,156529.60
1,10,2,0.70,95,166102.49
1,10,2,0.70,110,172972.51
1,10,2,0.70,125,177459.19
1,10,2,0.70,140,239266.20
1,10,2,0.70,155,241160.59
1,10,2,0.70,170,242561.50
1,10,2,0.70,185,250425.64
1,10,2,0.70,200,262985.77
1,10,2,0.70,215,309445.18
1,10,2,0.70,230,513614.03
1,10,2,0.70,245,514993.02
1,10,2,0.70,260,522578.71
1,10,2,0.70,275,612175.59
1,10,2,0.70,290,625847.77
1,10,3,0.70,5,60922.88
1,10,3,0.70,20,61538.91
1,10,3,0.70,35,69889.52
1,10,3,0.70,50,106492.46
1,10,3,0.70,65,142638.45
1,10,3,0.70,80,156529.60
1,10,3,0.70,95,166102.49
1,10,3,0.70,110,172972.51
1,10,3,0.70,125,177459.19
1,10,3,0.70,140,239266.20
1,10,3,0.70,155,241160.59
1,10,3,0.70,170,242533.96
1,10,3,0.70,185,250291.79
1,10,3,0.70,200,262763.04
1,10,3,0.70,215,307179.59
1,10,3,0.70,230,509212.95
1,10,3,0.70,245,514338.19
1,10,3,0.70,260,520885.19
1,10,3,0.70,275,601707.09
1,10,3,0.70,290,615438.93
1,10,4,0.70,5,60922.88
1,10,4,0.70,20,61538.91
1,10,4,0.70,35,69889.52
1,10,4,0.70,50,106492.46
1,10,4,0.70,65,142638.45
1,10,4,0.70,80,156529.60
1,10,4,0.70,95,166102.49
1,10,4,0.70,110,172972.51
1,10,4,0.70,125,177450.52
1,10,4,0.70,140,239266.20
1,10,4,0.70,155,241160.59
1,10,4,0.70,170,242533.96
1,10,4,0.70,185,250291.79
1,10,4,0.70,200,262525.69
1,10,4,0.70,215,307045.62
1,10,4,0.70,230,508958.85
1,10,4,0.70,245,514099.35
1,10,4,0.70,260,520332.49
1,10,4,0.70,275,595943.30
1,10,4,0.70,290,609099.40
1,10,5,0.70,5,60922.88
1,10,5,0.70,20,61538.91
1,10,5,0.70,35,69889.52
1,10,5,0.70,50,106492.46
1,10,5,0.70,65,142638.45
1,10,5,0.70,80,156529.60
1,10,5,0.70,95,166102.49
1,10,5,0.70,110,172972.51
1,10,5,0.70,125,177450.52
1,10,5,0.70,140,239266.20
1,10,5,0.70,155,241160.59
1,10,5,0.70,170,242533.96
1,10,5,0.70,185,250291.79
1,10,5,0.70,200,262300.76
1,10,5,0.70,215,307045.62
1,10,5,0.70,230,508957.53
1,10,5,0.70,245,514071.09
1,10,5,0.70,260,520220.81
1,10,5,0.70,275,595218.29
1,10,5,0.70,290,608334.80
1,10,6,0.70,5,60922.88
1,10,6,0.70,20,61538.91
1,10,6,0.70,35,69889.52
1,10,6,0.70,50,106492.46
1,10,6,0.70,65,142638.45
1,10,6,0.70,80,156529.60
1,10,6,0.70,95,166102.49
1,10,6,0.70,110,172972.51
1,10,6,0.70,125,177450.52
1,10,6,0.70,140,239241.35
1,10,6,0.70,155,241135.75
1,10,6,0.70,170,242509.12
1,10,6,0.70,185,250266.95
1,10,6,0.70,200,262170.36
1,10,6,0.70,215,307015.55
1,10,6,0.70,230,508845.19
1,10,6,0.70,245,513645.23
1,10,6,0.70,260,519898.94
1,10,6,0.70,275,596187.58
1,10,6,0.70,290,607517.12
1,10,7,0.70,5,60922.88
1,10,7,0.70,20,61538.91
1,10,7,0.70,35,69889.52
1,10,7,0.70,50,106492.46
1,10,7,0.70,65,142638.45
1,10,7,0.70,80,156529.60
1,10,7,0.70,95,166102.49
1,10,7,0.70,110,172972.51
1,10,7,0.70,125,177459.19
1,10,7,0.70,140,239205.45
1,10,7,0.70,155,241099.85
1,10,7,0.70,170,242473.22
1,10,7,0.70,185,250231.05
1,10,7,0.70,200,262127.42
1,10,7,0.70,215,306979.66
1,10,7,0.70,230,508056.65
1,10,7,0.70,245,512870.15
1,10,7,0.70,260,519143.97
1,10,7,0.70,275,595080.89
1,10,7,0.70,290,606744.42
1,10,8,0.70,5,60922.88
1,10,8,0.70,20,61538.91
1,10,8,0.70,35,69889.52
1,10,8,0.70,50,106492.46
1,10,8,0.70,65,142638.45
1,10,8,0.70,80,156529.60
1,10,8,0.70,95,166102.49
1,10,8,0.70,110,172944.12
1,10,8,0.70,125,177437.48
1,10,8,0.70,140,239226.86
1,10,8,0.70,155,241121.26
1,10,8,0.70,170,242495.77
1,10,8,0.70,185,250221.52
1,10,8,0.70,200,262037.28
1,10,8,0.70,215,307446.60
1,10,8,0.70,230,507181.09
1,10,8,0.70,245,512253.95
1,10,8,0.70,260,518623.26
1,10,8,0.70,275,593423.22
1,10,8,0.70,290,603190.46
1,10,9,0.70,5,60922.88
1,10,9,0.70,20,61538.91
