agents,kmax,percent,ratio,profit,distance
1,10,80,0.01,5,60922.88
1,10,80,0.01,20,61538.91
1,10,80,0.01,35,69838.01
1,10,80,0.01,50,105907.26
1,10,80,0.01,65,142938.87
1,10,80,0.01,80,155032.11
1,10,80,0.01,95,166399.58
1,10,80,0.01,110,172790.28
1,10,80,0.01,125,177533.20
1,10,80,0.01,140,238697.15
1,10,80,0.01,155,240754.53
1,10,80,0.01,170,242341.18
1,10,80,0.01,185,250000.78
1,10,80,0.01,200,262843.88
1,10,80,0.01,215,308780.66
1,10,80,0.01,230,508615.10
1,10,80,0.01,245,513997.00
1,10,80,0.01,260,521844.16
1,10,80,0.01,275,608496.67
1,10,80,0.01,290,628479.65
1,10,80,0.02,5,60922.88
1,10,80,0.02,20,61538.91
1,10,80,0.02,35,69838.01
1,10,80,0.02,50,105907.26
1,10,80,0.02,65,142938.87
1,10,80,0.02,80,155032.11
1,10,80,0.02,95,166399.58
1,10,80,0.02,110,172790.28
1,10,80,0.02,125,177533.20
1,10,80,0.02,140,238697.15
1,10,80,0.02,155,240754.53
1,10,80,0.02,170,242341.18
1,10,80,0.02,185,250000.78
1,10,80,0.02,200,262843.88
1,10,80,0.02,215,308780.66
1,10,80,0.02,230,508615.10
1,10,80,0.02,245,513997.00
1,10,80,0.02,260,521844.16
1,10,80,0.02,275,608496.67
1,10,80,0.02,290,628517.34
1,10,80,0.03,5,60922.88
1,10,80,0.03,20,61538.91
1,10,80,0.03,35,69838.01
1,10,80,0.03,50,105907.26
1,10,80,0.03,65,142938.87
1,10,80,0.03,80,155032.11
1,10,80,0.03,95,166399.58
1,10,80,0.03,110,172790.28
1,10,80,0.03,125,177533.20
1,10,80,0.03,140,238697.15
1,10,80,0.03,155,240754.53
1,10,80,0.03,170,242341.18
1,10,80,0.03,185,250000.78
1,10,80,0.03,200,262843.88
1,10,80,0.03,215,308780.66
1,10,80,0.03,230,508627.88
1,10,80,0.03,245,514053.77
1,10,80,0.03,260,521958.01
1,10,80,0.03,275,609164.21
1,10,80,0.03,290,629471.61
1,10,80,0.04,5,60922.88
1,10,80,0.04,20,61538.91
1,10,80,0.04,35,69838.01
1,10,80,0.04,50,105907.26
1,10,80,0.04,65,142938.87
1,10,80,0.04,80,155032.11
1,10,80,0.04,95,166399.58
1,10,80,0.04,110,172790.28
1,10,80,0.04,125,177533.20
1,10,80,0.04,140,238697.15
1,10,80,0.04,155,240754.53
1,10,80,0.04,170,242306.25
1,10,80,0.04,185,250015.98
1,10,80,0.04,200,262874.27
1,10,80,0.04,215,309494.60
1,10,80,0.04,230,509592.10
1,10,80,0.04,245,515002.79
1,10,80,0.04,260,522818.45
1,10,80,0.04,275,609149.24
1,10,80,0.04,290,629411.80
1,10,80,0.05,5,60922.88
1,10,80,0.05,20,61538.91
1,10,80,0.05,35,69838.01
1,10,80,0.05,50,105907.26
1,10,80,0.05,65,142938.87
1,10,80,0.05,80,155032.11
1,10,80,0.05,95,166399.58
1,10,80,0.05,110,172790.28
1,10,80,0.05,125,177533.20
1,10,80,0.05,140,238697.15
1,10,80,0.05,155,240754.53
1,10,80,0.05,170,242306.25
1,10,80,0.05,185,250014.99
1,10,80,0.05,200,262874.27
1,10,80,0.05,215,309472.50
1,10,80,0.05,230,509570.00
1,10,80,0.05,245,514980.70
1,10,80,0.05,260,522887.07
1,10,80,0.05,275,598857.30
1,10,80,0.05,290,631528.35
1,10,80,0.06,5,60922.88
1,10,80,0.06,20,61538.91
1,10,80,0.06,35,69838.01
1,10,80,0.06,50,105907.26
1,10,80,0.06,65,142938.87
1,10,80,0.06,80,155032.11
1,10,80,0.06,95,166399.58
1,10,80,0.06,110,172790.28
1,10,80,0.06,125,177533.20
1,10,80,0.06,140,238697.15
1,10,80,0.06,155,240754.53
1,10,80,0.06,170,242306.25
1,10,80,0.06,185,250014.99
1,10,80,0.06,200,263039.05
1,10,80,0.06,215,309472.50
1,10,80,0.06,230,513261.03
1,10,80,0.06,245,514956.02
1,10,80,0.06,260,522883.45
1,10,80,0.06,275,598681.37
1,10,80,0.06,290,631454.22
1,10,80,0.07,5,60922.88
1,10,80,0.07,20,61538.91
1,10,80,0.07,35,69838.01
1,10,80,0.07,50,105907.26
1,10,80,0.07,65,142938.87
1,10,80,0.07,80,155032.11
1,10,80,0.07,95,166399.58
1,10,80,0.07,110,172790.28
1,10,80,0.07,125,177533.20
1,10,80,0.07,140,238697.15
1,10,80,0.07,155,240754.53
1,10,80,0.07,170,242306.25
1,10,80,0.07,185,250014.99
1,10,80,0.07,200,263129.18
1,10,80,0.07,215,305877.99
1,10,80,0.07,230,514046.21
1,10,80,0.07,245,515741.40
1,10,80,0.07,260,523521.20
1,10,80,0.07,275,598696.34
1,10,80,0.07,290,631476.40
1,10,80,0.08,5,60922.88
1,10,80,0.08,20,61538.91
1,10,80,0.08,35,69838.01
1,10,80,0.08,50,105907.26
1,10,80,0.08,65,142938.87
1,10,80,0.08,80,155032.11
1,10,80,0.08,95,166399.58
1,10,80,0.08,110,172790.28
1,10,80,0.08,125,177533.20
1,10,80,0.08,140,238697.15
1,10,80,0.08,155,240754.53
1,10,80,0.08,170,242306.25
1,10,80,0.08,185,250014.99
1,10,80,0.08,200,263129.18
1,10,80,0.08,215,306171.25
1,10,80,0.08,230,514924.00
1,10,80,0.08,245,515741.40
1,10,80,0.08,260,524246.07
1,10,80,0.08,275,599527.48
1,10,80,0.08,290,631476.40
1,10,80,0.09,5,60922.88
1,10,80,0.09,20,61538.91
1,10,80,0.09,35,69838.01
1,10,80,0.09,50,105907.26
1,10,80,0.09,65,142938.87
1,10,80,0.09,80,155032.11
1,10,80,0.09,95,166399.58
1,10,80,0.09,110,172790.28
1,10,80,0.09,125,177533.20
1,10,80,0.09,140,238697.15
1,10,80,0.09,155,240754.53
1,10,80,0.09,170,242306.25
1,10,80,0.09,185,250015.98
1,10,80,0.09,200,263129.18
1,10,80,0.09,215,306171.25
1,10,80,0.09,230,514972.11
1,10,80,0.09,245,515741.40
1,10,80,0.09,260,524552.04
1,10,80,0.09,275,600021.13
1,10,80,0.09,290,631465.34
1,10,80,0.10,5,60922.88
1,10,80,0.10,20,61538.91
1,10,80,0.10,35,69838.01
1,10,80,0.10,50,105907.26
1,10,80,0.10,65,142938.87
1,10,80,0.10,80,155032.11
1,10,80,0.10,95,166399.58
1,10,80,0.10,110,172790.28
1,10,80,0.10,125,177533.20
1,10,80,0.10,140,238697.15
1,10,80,0.10,155,240754.53
1,10,80,0.10,170,242306.25
1,10,80,0.10,185,250133.04
1,10,80,0.10,200,263104.81
1,10,80,0.10,215,306257.45
1,10,80,0.10,230,514979.17
1,10,80,0.10,245,515741.40
1,10,80,0.10,260,524567.23
1,10,80,0.10,275,600003.45
1,10,80,0.10,290,632486.14
1,10,80,0.11,5,60922.88
1,10,80,0.11,20,61538.91
1,10,80,0.11,35,69838.01
1,10,80,0.11,50,105907.26
1,10,80,0.11,65,142938.87
1,10,80,0.11,80,155032.11
1,10,80,0.11,95,166399.58
1,10,80,0.11,110,172790.28
1,10,80,0.11,125,177533.20
1,10,80,0.11,140,238697.15
1,10,80,0.11,155,240754.53
1,10,80,0.11,170,242341.18
1,10,80,0.11,185,250141.93
1,10,80,0.11,200,263087.52
1,10,80,0.11,215,305883.21
1,10,80,0.11,230,514979.17
1,10,80,0.11,245,515741.40
1,10,80,0.11,260,524567.23
1,10,80,0.11,275,600003.45
1,10,80,0.11,290,632691.87
1,10,80,0.12,5,60922.88
1,10,80,0.12,20,61538.91
1,10,80,0.12,35,69838.01
1,10,80,0.12,50,105907.26
