agents,kmax,percent,ratio,profit,distance
1,-1,-1,-1.00,5,60922.88
1,-1,-1,-1.00,30,66984.05
1,-1,-1,-1.00,55,139026.40
1,-1,-1,-1.00,80,154882.05
1,-1,-1,-1.00,105,169490.85
1,-1,-1,-1.00,130,188615.18
1,-1,-1,-1.00,155,239575.26
1,-1,-1,-1.00,180,246476.66
1,-1,-1,-1.00,205,264616.18
1,-1,-1,-1.00,230,501064.28
1,-1,-1,-1.00,255,514045.10
1,-1,-1,-1.00,280,593482.54
1,-1,-1,0.10,5,60922.88
1,-1,-1,0.10,30,66983.81
1,-1,-1,0.10,55,139152.73
1,-1,-1,0.10,80,154770.62
1,-1,-1,0.10,105,169516.94
1,-1,-1,0.10,130,188595.43
1,-1,-1,0.10,155,239358.39
1,-1,-1,0.10,180,246823.67
1,-1,-1,0.10,205,264750.45
1,-1,-1,0.10,230,505740.76
1,-1,-1,0.10,255,514559.15
1,-1,-1,0.10,280,600715.16
1,-1,-1,0.20,5,60922.88
1,-1,-1,0.20,30,66983.81
1,-1,-1,0.20,55,139134.82
1,-1,-1,0.20,80,154788.31
1,-1,-1,0.20,105,169276.74
1,-1,-1,0.20,130,188593.80
1,-1,-1,0.20,155,239343.46
1,-1,-1,0.20,180,246822.67
1,-1,-1,0.20,205,264841.29
1,-1,-1,0.20,230,505647.85
1,-1,-1,0.20,255,514281.48
1,-1,-1,0.20,280,598322.76
1,-1,-1,0.30,5,60922.88
1,-1,-1,0.30,30,66983.81
1,-1,-1,0.30,55,139114.94
1,-1,-1,0.30,80,154737.43
1,-1,-1,0.30,105,169646.90
1,-1,-1,0.30,130,188498.48
1,-1,-1,0.30,155,239529.50
1,-1,-1,0.30,180,246964.22
1,-1,-1,0.30,205,265029.73
1,-1,-1,0.30,230,504504.53
1,-1,-1,0.30,255,514383.84
1,-1,-1,0.30,280,596880.27
1,-1,-1,0.40,5,60922.88
1,-1,-1,0.40,30,66983.79
1,-1,-1,0.40,55,139163.72
1,-1,-1,0.40,80,155022.43
1,-1,-1,0.40,105,169665.26
1,-1,-1,0.40,130,188593.18
1,-1,-1,0.40,155,239726.50
1,-1,-1,0.40,180,247106.02
1,-1,-1,0.40,205,265137.42
1,-1,-1,0.40,230,505981.27
1,-1,-1,0.40,255,514818.71
1,-1,-1,0.40,280,598188.73
1,-1,-1,0.50,5,60922.88
1,-1,-1,0.50,30,66982.53
1,-1,-1,0.50,55,139188.04
1,-1,-1,0.50,80,155578.46
1,-1,-1,0.50,105,169639.26
1,-1,-1,0.50,130,188524.42
1,-1,-1,0.50,155,239534.77
1,-1,-1,0.50,180,246703.10
1,-1,-1,0.50,205,265167.91
1,-1,-1,0.50,230,506179.93
1,-1,-1,0.50,255,515920.12
1,-1,-1,0.50,280,600356.32
1,-1,-1,0.60,5,60922.88
1,-1,-1,0.60,30,66982.53
1,-1,-1,0.60,55,139284.36
1,-1,-1,0.60,80,154967.99
1,-1,-1,0.60,105,169588.30
1,-1,-1,0.60,130,188473.81
1,-1,-1,0.60,155,239452.26
1,-1,-1,0.60,180,246645.91
1,-1,-1,0.60,205,265266.48
1,-1,-1,0.60,230,506335.18
1,-1,-1,0.60,255,515967.66
1,-1,-1,0.60,280,600853.82
1,-1,-1,0.70,5,60922.88
1,-1,-1,0.70,30,66982.53
1,-1,-1,0.70,55,139160.20
1,-1,-1,0.70,80,155483.97
1,-1,-1,0.70,105,169593.68
1,-1,-1,0.70,130,188445.13
1,-1,-1,0.70,155,239455.97
1,-1,-1,0.70,180,246863.16
1,-1,-1,0.70,205,265408.66
1,-1,-1,0.70,230,505449.24
1,-1,-1,0.70,255,516055.41
1,-1,-1,0.70,280,602238.26
1,-1,-1,0.80,5,60922.88
1,-1,-1,0.80,30,66982.53
1,-1,-1,0.80,55,139162.08
1,-1,-1,0.80,80,154800.75
1,-1,-1,0.80,105,169621.09
1,-1,-1,0.80,130,188483.44
1,-1,-1,0.80,155,239414.96
1,-1,-1,0.80,180,246831.74
1,-1,-1,0.80,205,265234.79
1,-1,-1,0.80,230,506433.89
1,-1,-1,0.80,255,516196.77
1,-1,-1,0.80,280,601272.74
1,-1,-1,0.90,5,60922.88
1,-1,-1,0.90,30,66982.53
1,-1,-1,0.90,55,139146.59
1,-1,-1,0.90,80,154765.58
1,-1,-1,0.90,105,169604.74
1,-1,-1,0.90,130,188506.00
1,-1,-1,0.90,155,239546.65
1,-1,-1,0.90,180,246866.34
1,-1,-1,0.90,205,265379.80
1,-1,-1,0.90,230,505087.11
1,-1,-1,0.90,255,516616.49
1,-1,-1,0.90,280,601643.92
1,-1,-1,1.00,5,60922.88
1,-1,-1,1.00,30,66988.96
1,-1,-1,1.00,55,139073.03
1,-1,-1,1.00,80,155029.40
1,-1,-1,1.00,105,169819.52
1,-1,-1,1.00,130,188902.91
1,-1,-1,1.00,155,241728.84
1,-1,-1,1.00,180,248094.92
1,-1,-1,1.00,205,267141.11
1,-1,-1,1.00,230,507304.24
1,-1,-1,1.00,255,519331.58
1,-1,-1,1.00,280,612374.18
2,-1,-1,-1.00,5,60971.98
2,-1,-1,-1.00,30,85960.96
2,-1,-1,-1.00,55,165225.45
2,-1,-1,-1.00,80,180992.77
2,-1,-1,-1.00,105,219908.45
2,-1,-1,-1.00,130,251527.42
2,-1,-1,-1.00,155,295903.37
2,-1,-1,-1.00,180,308882.75
2,-1,-1,-1.00,205,333560.10
2,-1,-1,-1.00,230,579608.10
2,-1,-1,-1.00,255,597257.75
2,-1,-1,-1.00,280,665509.87
2,-1,-1,0.10,5,60971.98
2,-1,-1,0.10,30,85960.96
2,-1,-1,0.10,55,165342.78
2,-1,-1,0.10,80,181109.59
2,-1,-1,0.10,105,220232.39
2,-1,-1,0.10,130,265541.50
2,-1,-1,0.10,155,297979.11
2,-1,-1,0.10,180,311181.99
2,-1,-1,0.10,205,337395.65
2,-1,-1,0.10,230,582457.18
2,-1,-1,0.10,255,602191.34
2,-1,-1,0.10,280,669645.60
2,-1,-1,0.20,5,60971.98
2,-1,-1,0.20,30,85960.96
2,-1,-1,0.20,55,165215.85
2,-1,-1,0.20,80,181391.07
2,-1,-1,0.20,105,220297.74
2,-1,-1,0.20,130,266172.15
2,-1,-1,0.20,155,297736.51
2,-1,-1,0.20,180,311276.89
2,-1,-1,0.20,205,336999.26
2,-1,-1,0.20,230,589081.37
2,-1,-1,0.20,255,602595.19
2,-1,-1,0.20,280,672911.90
2,-1,-1,0.30,5,60971.98
2,-1,-1,0.30,30,85960.96
2,-1,-1,0.30,55,165323.54
2,-1,-1,0.30,80,181727.58
2,-1,-1,0.30,105,220301.92
2,-1,-1,0.30,130,265576.45
2,-1,-1,0.30,155,297719.47
2,-1,-1,0.30,180,311465.71
2,-1,-1,0.30,205,336249.95
2,-1,-1,0.30,230,592580.92
2,-1,-1,0.30,255,606250.60
2,-1,-1,0.30,280,678626.55
2,-1,-1,0.40,5,60971.98
2,-1,-1,0.40,30,85960.96
2,-1,-1,0.40,55,165210.94
2,-1,-1,0.40,80,181883.47
2,-1,-1,0.40,105,220274.16
2,-1,-1,0.40,130,263887.84
2,-1,-1,0.40,155,297090.18
2,-1,-1,0.40,180,311209.69
2,-1,-1,0.40,205,335708.09
2,-1,-1,0.40,230,595905.83
2,-1,-1,0.40,255,606846.30
2,-1,-1,0.40,280,677632.47
2,-1,-1,0.50,5,60971.98
2,-1,-1,0.50,30,85960.96
2,-1,-1,0.50,55,165331.07
2,-1,-1,0.50,80,179323.49
2,-1,-1,0.50,105,220638.49
2,-1,-1,0.50,130,255125.57
2,-1,-1,0.50,155,296553.32
2,-1,-1,0.50,180,309253.05
2,-1,-1,0.50,205,333568.16
2,-1,-1,0.50,230,590530.83
2,-1,-1,0.50,255,603902.97
2,-1,-1,0.50,280,671578.79
2,-1,-1,0.60,5,60971.98
2,-1,-1,0.60,30,85960.96
2,-1,-1,0.60,55,165325.74
2,-1,-1,0.60,80,179439.98
2,-1,-1,0.60,105,220328.75
2,-1,-1,0.60,130,257000.51
