heuristic,agents,profit,time (ns),distance (km)
one,1,5,235,60.92
one,1,10,214,60.92
one,1,15,221,60.99
one,1,20,231,61.54
one,1,25,244,62.73
one,1,30,284,66.36
one,1,35,344,72.31
one,1,40,360,72.91
one,1,45,424,142.65
one,1,50,496,156.17
one,1,55,496,157.69
one,1,60,542,159.22
one,1,65,502,159.22
one,1,70,506,159.22
one,1,75,548,172.58
one,1,80,550,179.62
one,1,85,652,186.50
one,1,90,660,186.50
one,1,95,593,186.50
one,1,100,674,189.65
one,1,105,625,192.95
one,1,110,643,196.69
one,1,115,650,196.72
one,1,120,631,203.10
one,1,125,691,215.74
one,1,130,807,223.92
one,1,135,871,231.00
one,1,140,847,231.04
one,1,145,892,231.04
one,1,150,890,234.83
one,1,155,899,234.99
one,1,160,998,238.75
one,1,165,1027,238.83
one,1,170,1259,242.78
one,1,175,1364,243.41
one,1,180,1494,246.87
one,1,185,2014,252.06
one,1,190,2804,261.58
one,1,195,3638,451.54
one,1,200,3610,460.34
one,1,205,3666,462.16
one,1,210,3915,464.25
one,1,215,4226,465.84
one,1,220,4022,467.25
one,1,225,4012,467.26
one,1,230,4215,468.42
one,1,235,4425,470.92
one,1,240,5852,481.62
one,1,245,7983,550.02
one,1,250,8899,567.00
one,1,255,9761,568.74
one,1,260,10334,585.18
one,1,265,10497,585.99
one,1,270,11189,586.77
one,1,275,12666,619.41
one,1,280,13462,624.79
one,1,285,15322,626.27
one,1,290,17579,639.58
one,1,295,21807,643.64
one,1,333,860728,1585.65
one,2,5,383,60.97
one,2,10,239,60.97
one,2,15,237,61.07
one,2,20,251,61.63
one,2,25,251,65.40
one,2,30,296,85.97
one,2,35,299,86.52
one,2,40,315,87.58
one,2,45,363,129.70
one,2,50,430,160.62
one,2,55,423,162.77
one,2,60,414,164.89
one,2,65,424,164.89
one,2,70,439,168.02
one,2,75,449,193.89
one,2,80,458,199.31
one,2,85,514,221.63
one,2,90,507,222.03
one,2,95,506,222.04
one,2,100,527,228.74
one,2,105,535,232.65
one,2,110,543,236.43
one,2,115,582,238.83
one,2,120,631,249.45
one,2,125,638,264.98
