heuristic,agents,profit,time,distance
one,1,5,3632.97,60922.88
one,1,10,2426.37,60922.88
one,1,15,1902.20,60992.34
one,1,20,1542.86,61542.06
one,1,25,2365.93,62729.86
one,1,30,3124.18,66362.97
one,1,35,2679.12,72310.55
one,1,40,1604.40,72912.58
one,1,45,1300.00,142647.36
one,1,50,1880.22,156170.08
one,1,55,2135.16,157693.14
one,1,60,2103.30,159216.20
one,1,65,2245.05,159216.20
one,1,70,1635.16,159216.20
one,1,75,1697.80,172582.08
one,1,80,2028.57,179623.45
one,1,85,2412.09,186496.54
one,1,90,2618.68,186503.35
one,1,95,2428.57,186503.35
one,1,100,3087.91,189647.35
one,1,105,2496.70,192947.07
one,1,110,3146.15,196685.75
one,1,115,3931.87,196715.50
one,1,120,3193.41,203097.74
one,1,125,4890.11,215743.15
one,1,130,6035.16,223924.59
one,1,135,3570.33,231001.07
one,1,140,3636.26,231035.77
one,1,145,2962.64,231035.77
one,1,150,2430.77,234828.79
one,1,155,2317.58,234994.61
one,1,160,2793.41,238749.46
one,1,165,3668.13,238833.03
one,1,170,4882.42,242782.65
one,1,175,4270.33,243410.86
one,1,180,5972.53,246867.43
one,1,185,7984.62,252063.75
one,1,190,6970.33,261581.38
one,1,195,11545.05,451537.15
one,1,200,8860.44,460341.25
one,1,205,9621.98,462155.35
one,1,210,7970.33,464245.67
one,1,215,8838.46,465840.63
one,1,220,8468.13,467248.93
one,1,225,10648.35,467255.74
one,1,230,11653.85,468416.05
one,1,235,11253.85,470917.14
one,1,240,14010.99,481618.60
one,1,245,15148.35,550019.15
one,1,250,20709.89,566996.47
one,1,255,26749.45,568740.78
one,1,260,42657.14,585182.77
one,1,265,39516.48,585992.23
one,1,270,37325.27,586767.36
one,1,275,36371.43,619405.35
one,1,280,33770.33,624785.85
one,1,285,41151.65,626273.60
one,1,290,30232.97,639583.14
one,1,295,43258.24,643635.80
one,2,5,1529.67,60971.98
one,2,10,664.84,60971.98
one,2,15,497.80,61069.89
one,2,20,440.66,61626.09
one,2,25,689.01,65403.82
one,2,30,535.16,85972.77
one,2,35,659.34,86515.26
one,2,40,579.12,87580.62
one,2,45,775.82,129697.90
one,2,50,1012.09,160616.62
one,2,55,770.33,162767.49
one,2,60,1168.13,164887.82
one,2,65,772.53,164887.82
one,2,70,841.76,168017.34
one,2,75,797.80,193892.89
one,2,80,840.66,199310.42
one,2,85,851.65,221627.29
one,2,90,876.92,222029.99
one,2,95,1152.75,222036.80
one,2,100,1454.95,228736.99
one,2,105,1051.65,232653.50
one,2,110,954.95,236430.70
one,2,115,1900.00,238834.23
one,2,120,1028.57,249453.47
one,2,125,1728.57,264978.66
one,2,130,1745.05,269387.49
one,2,135,2367.03,287567.46
one,2,140,1498.90,287791.08
one,2,145,1747.25,287823.40
one,2,150,2124.18,291827.09
one,2,155,2846.15,291863.39
one,2,160,2651.65,301519.75
one,2,165,2084.62,308261.16
one,2,170,4168.13,308981.95
one,2,175,2547.25,313467.67
one,2,180,2592.31,317188.13
one,2,185,4005.49,325106.04
one,2,190,3670.33,347332.21
one,2,195,4793.41,506596.17
one,2,200,4830.77,547271.13
one,2,205,5803.30,558427.68
one,2,210,6747.25,582107.59
one,2,215,4716.48,584421.25
one,2,220,7437.36,585232.44
one,2,225,6902.20,599883.75
one,2,230,6039.56,603391.31
one,2,235,5250.55,605256.73
one,2,240,6923.08,610377.30
one,2,245,9903.30,625968.57
one,2,250,7845.05,681756.94
one,2,255,14320.88,698451.70
one,2,260,11240.66,703434.60
one,2,265,8547.25,709834.42
one,2,270,10804.40,711664.94
one,2,275,9603.30,712829.83
one,2,280,11293.41,724271.60
one,2,285,12086.81,758844.52
one,2,290,12175.82,767710.76
one,2,295,14191.21,776787.57
one,3,5,440.66,60971.98
one,3,10,521.98,60971.98
one,3,15,484.62,61069.89
one,3,20,547.25,61631.66
one,3,25,472.53,65439.53
one,3,30,613.19,86542.96
one,3,35,562.64,87551.34
one,3,40,884.62,88511.64
one,3,45,576.92,132245.43
one,3,50,714.29,164832.13
one,3,55,913.19,168892.05
one,3,60,702.20,171023.43
one,3,65,953.85,171023.43
one,3,70,704.40,175569.44
one,3,75,969.23,188050.73
one,3,80,1075.82,191748.39
one,3,85,848.35,213521.42
one,3,90,996.70,216197.24
one,3,95,862.64,227707.36
one,3,100,1008.79,259562.67
one,3,105,889.01,259908.20
one,3,110,1381.32,263691.25
one,3,115,958.24,283807.34
one,3,120,1106.59,295141.83
one,3,125,1092.31,305566.67
one,3,130,1258.24,332390.98
